2.5582 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
137.6339 	EXP 	window1: recordFrameIntervals = False
137.6354 	DATA 	Keypress: right
137.6479 	EXP 	fixation: autoDraw = False
137.6479 	EXP 	grating: autoDraw = False
137.6482 	EXP 	window1: recordFrameIntervals = False
138.6243 	EXP 	fixation: autoDraw = True
139.6314 	EXP 	fixation: autoDraw = False
139.6481 	EXP 	grating: autoDraw = True
139.6481 	EXP 	grating: tex = 'sin'
139.9484 	EXP 	grating: autoDraw = False
140.0181 	EXP 	window1: recordFrameIntervals = False
140.0197 	DATA 	Keypress: left
140.0315 	EXP 	fixation: autoDraw = False
140.0315 	EXP 	grating: autoDraw = False
140.0317 	EXP 	window1: recordFrameIntervals = False
141.0096 	EXP 	fixation: autoDraw = True
142.0147 	EXP 	fixation: autoDraw = False
142.0321 	EXP 	grating: autoDraw = True
142.0321 	EXP 	grating: tex = 'sin'
142.3319 	EXP 	grating: autoDraw = False
142.4187 	EXP 	window1: recordFrameIntervals = False
142.4195 	DATA 	Keypress: left
142.4321 	EXP 	fixation: autoDraw = False
142.4321 	EXP 	grating: autoDraw = False
142.4327 	EXP 	window1: recordFrameIntervals = False
143.4081 	EXP 	fixation: autoDraw = True
144.4149 	EXP 	fixation: autoDraw = False
144.4319 	EXP 	grating: autoDraw = True
144.4319 	EXP 	grating: tex = 'sin'
144.7319 	EXP 	grating: autoDraw = False
144.7846 	EXP 	window1: recordFrameIntervals = False
144.7864 	DATA 	Keypress: right
144.7983 	EXP 	fixation: autoDraw = False
144.7983 	EXP 	grating: autoDraw = False
144.7985 	EXP 	window1: recordFrameIntervals = False
145.7742 	EXP 	fixation: autoDraw = True
146.7818 	EXP 	fixation: autoDraw = False
146.7986 	EXP 	grating: autoDraw = True
146.7986 	EXP 	grating: tex = 'sin'
147.0984 	EXP 	grating: autoDraw = False
147.1517 	EXP 	window1: recordFrameIntervals = False
147.1536 	DATA 	Keypress: left
147.1652 	EXP 	fixation: autoDraw = False
147.1652 	EXP 	grating: autoDraw = False
147.1655 	EXP 	window1: recordFrameIntervals = False
148.1422 	EXP 	fixation: autoDraw = True
149.1485 	EXP 	fixation: autoDraw = False
149.1653 	EXP 	grating: autoDraw = True
149.1653 	EXP 	grating: tex = 'sin'
149.4651 	EXP 	grating: autoDraw = False
149.5185 	EXP 	window1: recordFrameIntervals = False
149.5193 	DATA 	Keypress: right
149.5214 	EXP 	fixation: autoDraw = False
149.5214 	EXP 	grating: autoDraw = False
149.5215 	EXP 	window1: recordFrameIntervals = False
150.5110 	EXP 	fixation: autoDraw = True
151.5148 	EXP 	fixation: autoDraw = False
151.5320 	EXP 	grating: autoDraw = True
151.5320 	EXP 	grating: tex = 'sin'
151.8318 	EXP 	grating: autoDraw = False
151.8860 	EXP 	window1: recordFrameIntervals = False
151.8880 	DATA 	Keypress: left
151.8987 	EXP 	fixation: autoDraw = False
151.8987 	EXP 	grating: autoDraw = False
151.8993 	EXP 	window1: recordFrameIntervals = False
152.8756 	EXP 	fixation: autoDraw = True
153.8819 	EXP 	fixation: autoDraw = False
153.8988 	EXP 	grating: autoDraw = True
153.8988 	EXP 	grating: tex = 'sin'
154.1988 	EXP 	grating: autoDraw = False
154.3185 	EXP 	window1: recordFrameIntervals = False
154.3217 	DATA 	Keypress: left
154.3320 	EXP 	fixation: autoDraw = False
154.3320 	EXP 	grating: autoDraw = False
154.3323 	EXP 	window1: recordFrameIntervals = False
155.3088 	EXP 	fixation: autoDraw = True
156.3154 	EXP 	fixation: autoDraw = False
156.3322 	EXP 	grating: autoDraw = True
156.3322 	EXP 	grating: tex = 'sin'
156.6320 	EXP 	grating: autoDraw = False
156.7343 	EXP 	window1: recordFrameIntervals = False
156.7348 	DATA 	Keypress: right
156.7488 	EXP 	fixation: autoDraw = False
156.7488 	EXP 	grating: autoDraw = False
156.7491 	EXP 	window1: recordFrameIntervals = False
157.7249 	EXP 	fixation: autoDraw = True
158.7321 	EXP 	fixation: autoDraw = False
158.7490 	EXP 	grating: autoDraw = True
158.7490 	EXP 	grating: tex = 'sin'
159.0485 	EXP 	grating: autoDraw = False
159.1017 	EXP 	window1: recordFrameIntervals = False
159.1056 	DATA 	Keypress: right
159.1156 	EXP 	fixation: autoDraw = False
159.1156 	EXP 	grating: autoDraw = False
159.1158 	EXP 	window1: recordFrameIntervals = False
